Id,SalePrice
2658,149561.75041845138
2718,199774.3392757441
2414,194797.25404117623
1989,123975.38602395463
625,184726.37790938228
333,82778.40408608664
1327,94171.26166543213
858,144989.97638642526
95,196358.2146096056
1568,155052.4014144705
2482,178788.9872274248
1364,121350.5783117266
2584,172488.56529885565
818,256621.16169243807
2673,160955.0386075215
2089,113921.039974913
1297,163851.10921353893
790,120379.08439976728
2616,184822.46467608836
720,212785.7952232763
222,143632.7606729255
557,126860.16658548827
1148,219719.13441296062
2766,145033.3574316458
534,196041.70716787898
1452,104736.89365525945
630,143454.11979045853
2648,150305.6314086935
125,155637.47492760723
1904,28034.97706001092
1670,108187.87849864428
756,106389.68340493264
717,266319.11494534824
1032,154309.94288328337
852,232556.0879713458
1731,168848.2979239475
2639,114085.7028598809
2071,59675.81458612677
1267,115811.21649301078
1851,199499.2854371948
567,158036.6079201667
2439,215864.57151075848
1898,159908.2227300363
647,159923.96430037322
2256,234726.32209960232
979,89997.01251965543
1444,226801.75582156773
2485,99968.64148398451
157,114254.57771803532
88,113537.8642374367
2003,109435.13014697211
186,218814.6139506186
1425,265274.17712795205
2695,133072.30425482529
738,111636.86424224719
395,147572.1846979364
1353,174726.95608441962
1878,145304.5563021779
390,162044.00089334446
1456,237319.40861122817
1103,329533.8077993122
1387,130365.23365118541
2070,148040.75021146284
1199,165250.9992665822
2479,184423.35776786855
501,335406.3388499107
2362,78873.54752133178
1718,239688.998081072
2188,64949.923364769464
1483,154476.3909062217
2557,94614.08890285995
437,330302.55396553356
2224,200483.03742487996
1628,180835.2785811344
397,129825.46076255443
587,205163.75348261
971,127665.7955570048
2611,146543.96409092704
1887,75230.47718971604
2399,359370.84096187475
2148,226638.52435876528
304,118365.86653902402
1997,138815.3666166484
2817,124620.33228600264
1431,171200.27193723334
427,381953.2500664838
263,111321.6898743321
598,178032.46939084347
2895,250880.08967953263
687,153102.72424171248
1822,127628.32925631313
2191,107634.43058676523
179,107266.52921402708
1009,255027.1675961361
2010,110341.85370824568
1991,148657.27357490023
1411,174733.17183623323
1721,277221.19830306096
1144,196014.70714433154
593,211310.70460963616
575,299293.9831322487
1249,191692.91338990995
1604,104012.35172825959
1064,424155.87355139636
1923,160395.23731704615
1988,91381.33820466945
2325,169286.99061306997
114,195039.74659648142
2700,206360.72561108723
217,138921.20727812586
343,191770.90616833337
386,230555.0370235197
2005,96416.66544055287
2908,116824.5159947536
1814,219742.48959583376
2446,444654.7997588404
208,155039.66466760682
1679,121744.96694724075
822,317566.14034531714
6,186084.75888805854
1781,370111.77743532753
2397,321674.07665452186
2340,315231.2880057579
1618,144582.1424507174
2843,169111.7728622523
1061,355930.9288202108
2786,107831.56577565384
1935,127295.48970978506
1341,113069.9243464955
521,264137.3728570465
2136,126712.45865774021
996,168670.11389916827
227,145506.48225124163
135,166389.58257733716
1167,146927.7820552177
294,242831.02580157958
1776,208957.42778569227
540,188002.12040089472
1717,239688.998081072
2303,97254.88075267864
116,183236.59940295696
127,132706.7500337168
1371,130007.37979876524
1014,184241.56301757979
1507,77047.27127948392
702,165068.9240161965
750,165405.52688061225
261,141758.59344599926
1559,63509.038821036316
577,229013.8554171163
2812,206673.27294593008
2080,171692.49373219104
1368,110282.8972313669
2376,106321.61746238521
659,127309.60804964707
1235,123789.54077498647
332,76358.77580156381
1917,132338.93211764947
2094,252483.8388139991
1460,283304.4025632746
1471,204121.86376973626
1509,117832.30670984209
1922,115636.3444557483
433,428498.8935401823
460,316638.1437487736
1116,252283.25462683488
1137,163122.25913973956
53,184896.2853653088
2354,240498.84628213453
1475,210671.4362518707
1761,466737.8648411886
842,125800.4184927133
2739,187406.75481217756
2509,163392.13112377434
1007,211223.78510534886
2610,183722.41209588014
1952,117988.50574001699
2719,201856.82070447848
2921,82778.40408608664
1966,135676.46430081234
292,143434.90026577906
1204,205155.88047127653
1829,240489.00503463304
2419,187105.48787295335
391,162574.05382685235
798,119937.71525144804
481,197490.6413824692
193,207033.46642487223
555,118680.03783189322
899,48180.64513802173
2357,176061.80630180432
328,106444.6040374286
1356,101561.51694958992
1154,101479.74576889141
1730,186683.61611913773
2249,136995.8169844302
1119,261381.4159016583
2856,136353.7396215956
1394,125077.31322864429
2587,119337.30717870023
61,327958.634318002
2661,193350.98371276498
2711,119067.53141108435
1147,196377.19178981485
757,139613.1684863626
2623,77440.9792615581
2378,157114.60444485833
1413,143983.28203252383
1722,259143.24179871893
1112,224695.09029488085
1623,170552.7145719948
1201,214691.46852728125
1513,123468.01518688732
957,236903.09537021327
1171,259948.75575991644
1145,201219.34717321373
2726,223224.15654839232
703,142258.6673910382
760,84861.82944678166
1964,134659.40707963856
2512,184846.99921243283
159,142411.7755002688
1281,181580.86921337305
468,187221.36483838322
290,127263.86504925648
665,119175.07990233178
1463,271310.5193047206
1792,222577.24277943478
923,140263.07378278946
500,323073.3988724983
1408,145551.7736680152
331,58232.94093353316
170,155835.12663179566
2192,92539.1850648747
2571,316319.58616651007
2314,151539.69507825613
2647,88509.34667480312
422,403004.132208932
2457,324405.2769796039
1838,203650.54641424143
2805,248974.95720070065
1645,153003.96459631785
1711,324269.06583840033
2825,253620.48025672446
322,323974.0691799672
2103,272930.49469236034
342,122870.72819185286
600,104251.03444758372
488,180284.01518975978
1725,347584.4772886057
2246,247086.42658083694
2847,162314.813332589
806,243017.47886852734
530,229319.46291472547
963,187789.96165059257
2678,100687.37883781543
171,76570.74745240889
2401,408665.690682628
805,225067.49594113074
2259,241353.08384791337
1748,179484.3386792575
1361,131520.3250357143
1677,121463.88612688563
1406,162632.45960324834
2322,225191.92910533643
688,174081.2433545622
143,137037.84904244158
804,211852.16679138178
1214,164950.21986348007
2828,118362.44646286382
1999,202051.71585644613
2467,190528.16881438624
2665,177115.20941341232
1538,326635.68583179114
398,104023.122236759
2822,129198.5116284613
2157,147110.73490877007
1856,183698.97614938713
1269,91034.25528896131
2570,116131.53850245534
2320,242591.19033360406
1517,113608.14392624982
2304,98154.56515675568
1312,90048.1360908681
2012,138430.55529796792
506,246117.22345675278
2865,195824.48968314182
2367,108956.32396745743
554,97336.76580779577
238,136839.09395458887
1954,107463.89709604529
2488,121529.73121487515
2291,88615.93758447518
1969,80345.27351551517
2725,161642.57923305244
1482,154476.3909062217
2763,217848.6923649824
503,273058.9461249066
1584,233394.32514630887
1531,167198.4599788529
2210,175956.155153559
459,348360.84278949135
556,124332.70272811438
1347,159890.1783999015
1290,76927.39538296027
1388,100628.2841619816
1571,191006.27968412358
2754,216162.12914675154
765,122714.64379917676
2494,115219.77148401801
2870,206423.06762273906
7,260346.3103398629
1114,238757.28266570304
2418,273973.1408011497
291,123183.57043621363
18,359705.7417826051
39,355138.8609633189
1001,292157.6548100786
2442,248221.70809554908
616,141681.93042900483
2680,44715.67538187487
1414,134529.67875900923
289,169484.9086225995
40,280768.383593079
860,117684.59306238609
409,126088.66386933252
673,146104.4613163612
2427,184792.94583566237
2036,194164.99813604658
2564,147219.78949330805
642,215509.22288660822
1008,177523.4447768391
1908,177813.42120680347
2519,195612.9200170391
1369,87445.41730715294
